,CUST_NO,SERVICETIME,order_id,end_poi_id,VISITED,SCHEDULED_TIME,SCHEDULED_TOUR
49,49,19,order_451446d0-f89d-44bc-aae8-f757e6180886,refuel_225,False,386.35432721970045,3.0
50,50,19,order_fe5e60ca-07b6-4af6-8233-5d9431206f27,refuel_225,False,407.04615942057046,3.0
51,51,19,order_b96e0733-d5dc-4b41-8186-336fc18d6b5c,refuel_225,False,282.8951662153504,3.0
52,52,19,order_e08d9a4b-6a4f-4b67-8858-b986cb3bb43b,refuel_225,False,254.51630276061496,0.0
53,53,19,order_324d7069-a647-45b5-ab9e-b7f6795b9cd3,refuel_225,False,316.591799363225,0.0
54,54,19,order_fcd1e469-774c-4563-a60f-27faa1bb685b,refuel_225,False,275.208134961485,0.0
55,55,19,order_285524eb-9b01-4f18-accc-5fba63a89c56,refuel_225,False,174.51168243458716,4.0
56,56,19,order_0468b1c7-23ca-4b6f-829c-fbd5c416069d,refuel_225,False,195.20351463545717,4.0
57,57,19,order_0e39640b-db19-4485-8074-9c3640c23b96,refuel_225,False,215.89534683632718,4.0
58,58,19,order_d36105bb-58ef-4620-8b9c-03631d75900f,refuel_225,False,413.5863062885911,4.0
59,59,19,order_9dd0b177-a52d-492a-97f4-538909526d25,refuel_225,False,427.7379916214405,3.0
60,60,19,order_6493be34-afd7-4294-bf24-196ca0f475fe,refuel_225,False,203.96712909700824,5.0
61,61,7,order_aa782e36-bf7d-41f6-9450-12acb0314025,stationary_charge_1015,False,110.68748440373948,2.0
62,62,11,order_b1b560f9-32a5-4e26-8892-cb6d39b3c9d0,stationary_charge_1166,False,26.19247609768221,2.0
63,63,6,order_f1158d51-5e45-4371-ad51-57e833417b12,stationary_charge_280,False,7.572077569596945,1.0
64,64,7,order_f6e347b3-5ab9-43cf-bcec-32809c899522,stationary_charge_281,False,92.1999677143627,0.0
65,65,10,order_b9736eb4-faed-4971-ba24-57a9ab3d7965,stationary_charge_1114,False,7.098154295489499,2.0
66,66,11,order_fdb9bf08-9186-4aa1-8178-5aab1187a212,stationary_charge_807,False,115.59253359723573,0.0
67,67,7,order_2b7d1e34-eb51-4504-b580-c64e9c3b59df,stationary_charge_931,False,59.35143563098323,5.0
68,68,7,order_86252371-054e-4506-9e36-70b307d46f3f,stationary_charge_548,False,70.51114228263509,5.0
69,69,8,order_3f415557-a186-4ef9-8578-1e7c7d6ca7b1,stationary_charge_1261,False,420.058893033065,2.0
70,70,8,order_fedc2ee0-7b04-41a5-9ea2-15f531b36e92,stationary_charge_1121,False,463.06815794127795,4.0
71,71,7,order_295ffd4f-a170-4793-a073-67051d609cf6,stationary_charge_648,False,463.45995448186153,0.0
72,72,8,order_bc4f89ed-ad73-4e5c-90ea-ca0dfddd8da3,stationary_charge_195,False,452.88509178834,4.0
73,73,8,order_31a23401-b474-4a8b-a052-1a6ad716cb25,stationary_charge_925,False,222.22434911160627,2.0
74,74,9,order_bf1beb34-6716-4e51-8b4c-31a4c2b344df,stationary_charge_978,False,45.329626432217225,1.0
75,75,8,order_8d552cea-7cd3-4bec-835a-bd9ec19803ec,stationary_charge_251,False,388.473691873679,1.0
76,76,7,order_c594cab1-43c9-489c-ae23-2b37a100f5ae,stationary_charge_1408,False,340.2651001738861,1.0
77,77,7,order_f9f69833-2a0c-4ea0-adc8-be645bb4aab2,stationary_charge_971,False,373.7110151172501,2.0
78,78,7,order_dadccf57-618f-41ae-9c7c-4cb7fe349bca,stationary_charge_1538,False,439.7075536688876,5.0
79,79,6,order_1b79ea8e-235b-4471-bcae-ad620620d256,stationary_charge_847,False,90.31251726273752,2.0
80,80,10,order_f39ec51a-885a-4684-a857-624bc7b101f2,stationary_charge_1,False,43.85349831520261,5.0
81,81,6,order_f1342cc4-d004-4ad2-868e-783d4232d6b8,stationary_charge_501,False,172.01791976486354,0.0
82,82,8,order_cc094217-a4be-4daf-9f5e-d545e022f80a,stationary_charge_1406,False,212.03938331282447,2.0
83,83,9,order_7bad90c5-257a-4414-9853-dcdab77ca85f,stationary_charge_253,False,142.29165017402516,1.0
84,84,8,order_8317f5c2-e0a2-4113-a88e-baf0c8eb91a0,stationary_charge_742,False,387.98391971922763,2.0
85,85,6,order_82bf78ee-6caf-4272-8333-0b5120958631,stationary_charge_1264,False,174.80060531543347,2.0
86,86,8,order_b2e5f828-d742-4d46-90ca-5bf0d96213b0,stationary_charge_553,False,141.40926521733113,2.0
87,87,8,order_8cf54a59-b33d-4c8d-8af3-f4f2085dc415,stationary_charge_51,False,61.317880626030785,2.0
88,88,8,order_6ced8686-90fc-4534-9be5-9dddaf215795,stationary_charge_1264,False,181.44369538576163,2.0
89,89,9,order_6f779186-a368-418b-9f4c-f6442491ba0d,stationary_charge_1361,False,336.3250099193788,0.0
90,90,8,order_0c9ffb38-84ef-4f24-bc35-06d8bf581bfd,stationary_charge_1339,False,233.04069276772856,1.0
91,91,7,order_66b08d6a-7d4f-4ccf-a92a-df699bd0e5c4,stationary_charge_434,False,359.4020512847341,2.0
92,92,8,order_23c49b39-39b4-4b59-b82b-415cee79ba63,stationary_charge_501,False,163.9963067297928,0.0
93,93,7,order_d2d3dba8-b9cd-4384-b10f-4b5bb082967a,stationary_charge_1001,False,257.1183009543061,1.0
94,94,7,order_1f8dc151-4336-413b-8fb3-424118bbf9cf,stationary_charge_1326,False,248.74612658129521,1.0
95,95,6,order_6471b4b5-5b09-4924-b5a0-3316ad177214,stationary_charge_288,False,82.44810736992446,2.0
96,96,8,order_128daa74-fd75-4b52-9e2b-a92eed2072d0,stationary_charge_99,False,179.20995113583632,0.0
97,97,7,order_c945c2bf-6f9a-4399-b2da-9c5ad216f898,stationary_charge_11,False,124.25437941747347,2.0
98,98,9,order_b8f39ba0-421b-4e28-8298-84b60026a415,stationary_charge_68,False,109.11950353823273,1.0
99,99,6,order_05945ef9-559f-4407-b9ff-50661b0e85b4,stationary_charge_1241,False,436.5937099895094,4.0
100,100,7,order_f39adb5c-b58d-4147-9cff-8f9df964248e,stationary_charge_1243,False,131.94756838266943,0.0
101,101,9,order_f4649c24-f48a-4b0c-9a03-233d4f04a5d5,stationary_charge_1079,False,368.2414708171117,1.0
102,102,9,order_d93b0d3d-7d71-4a67-94eb-7185c9d1c242,stationary_charge_8,False,277.0822283242493,2.0
103,103,7,order_8c06001a-f82d-4043-8925-98826e26936f,stationary_charge_1276,False,151.4486436924952,0.0
104,104,6,order_6579bc23-ec17-4b64-b8f8-adb298e7929f,stationary_charge_137,False,367.275817313614,2.0
105,105,7,order_f1eda092-3656-40ac-89a0-fc6492a48454,stationary_charge_787,False,444.04446782735295,4.0
106,106,7,order_286cc43b-7b58-4567-ab46-83c97a0fb03d,stationary_charge_1367,False,141.93236447494806,0.0
107,107,17,order_a313d62a-2689-4367-81c1-94e06c6b9cb9,stationary_charge_96,False,429.0161307381753,2.0
108,108,16,order_e35ec638-5dac-48dc-912b-59a0ad5947e9,stationary_charge_214,False,40.61173288086859,2.0
109,109,18,order_7d40bca0-1977-49ff-9baa-31fbbce19abe,stationary_charge_68,False,118.989630473641,1.0
110,110,17,order_8f2a63e4-a121-4927-ad59-5e5397092784,stationary_charge_1345,False,4.968291937832738,5.0
111,111,18,order_6b658b02-c716-4473-a63f-330c25a2236f,stationary_charge_265,False,2.5915154005224066,3.0
112,112,17,order_5345cd35-6271-4d3b-b0d4-47ec1b05eed0,stationary_charge_535,False,243.82203493837693,6.0
113,113,18,order_8bbf4284-7e5d-458f-ad0f-9ea9b874eb50,stationary_charge_382,False,348.9558685458484,1.0
114,114,16,order_571a15f3-8fdf-42c5-91a3-e3f8523cea59,stationary_charge_1414,False,50.21555009133282,4.0
115,115,18,order_a474f198-2839-4ebd-801a-811f9554070a,stationary_charge_326,False,67.16566592763392,4.0
116,116,19,order_e92e6f71-6b2f-455a-ab75-ea31c87fd133,stationary_charge_1049,False,85.9317027342383,4.0
117,117,18,order_150d75f2-2578-4857-9288-d21bdaa8871b,stationary_charge_1407,False,191.95681054863553,2.0
118,118,16,order_3ba482a3-2178-41f1-ba1f-f949bcd2ab37,stationary_charge_497,False,157.72179128391002,2.0
119,119,17,order_9d4d81fd-7529-45f2-886d-17f810a15cfa,stationary_charge_166,False,286.4911553245395,2.0
120,120,17,order_f4fea6c6-893c-4bde-8c1f-db94dfae17df,refuel_317,False,138.5748752544696,5.0
121,121,44,order_3dcb1ddf-9037-47e2-a84d-62e7d5736fd6,wash_11,False,4.565072445456265,4.0
122,122,44,order_e5fe8879-f932-428c-a3fc-f1a79dcef47a,wash_7,False,231.30611225494616,2.0
123,123,46,order_1c24bfb7-7586-416b-92f0-2a3b0096b343,wash_7,False,306.2824547478888,2.0
124,124,49,order_273e27eb-9672-40e2-8b0c-c53079b8bdca,wash_11,False,26.562802466350977,0.0
125,125,5,order_8f399045-dbc1-428f-b219-50d88c2e9390,order_8f399045-dbc1-428f-b219-50d88c2e9390,False,379.2366269590538,1.0
126,126,7,order_daccf942-c797-4763-8c98-6f0757a1c7e6,stationary_charge_681,False,99.98582538278889,2.0
127,127,7,order_9d51826c-fb66-4148-b384-5e94480c4b0c,stationary_charge_11,False,131.68406548238147,2.0
128,128,11,order_482cb90c-7611-41e0-b63b-782ab1d242ba,stationary_charge_59,False,64.08744138799993,1.0
129,129,7,order_59d2f67a-1f5b-43cc-a32d-10c00e110b24,stationary_charge_745,False,78.42401287697045,0.0
130,130,8,order_bb9ad7b6-4efd-480a-acf5-886b56dd1ab8,stationary_charge_1127,False,76.00925710488004,1.0
131,131,8,order_a5ee527e-ca93-4a6b-aa65-91beda274d82,stationary_charge_1130,False,70.32084864536982,2.0
132,132,7,order_c3064175-30f3-4db7-893d-3f6069418284,stationary_charge_898,False,1.5281810815044354,0.0
133,133,7,order_71670323-21cf-4ba9-8b6a-1bdad24a6a5b,stationary_charge_1543,False,93.6930473193738,1.0
134,134,7,order_5ad1d350-cf30-40b0-9222-879a33bb1b3d,stationary_charge_1125,False,17.879301885985615,1.0
135,135,9,order_5c3f3fed-d313-4465-a4c5-673a3ab22b65,stationary_charge_1240,False,32.582860581048955,1.0
136,136,49,order_e902a510-460c-4629-833a-1ce0e53ba80d,wash_8,False,280.56413757709004,5.0
137,137,46,order_bf46a9e1-cce8-446a-bc17-8b12f10f9a00,wash_8,False,229.2135574217894,5.0
138,138,47,order_b67c184e-fd98-4e93-965b-4cc170242456,wash_11,False,419.41010557442365,1.0
139,139,47,order_5c167adf-6db3-44e5-ad02-86c730ecb68e,wash_11,False,290.9291267784296,6.0
140,140,48,order_3aff909b-9f4c-41d8-aedc-5417aa94e679,wash_4,False,193.0,6.0
141,141,20,order_da93ecb1-de40-4740-a4e5-75cf285d5756,refuel_185,False,268.0,6.0
142,142,43,order_394e48ee-3a44-420d-b136-48224a85b6f1,wash_3,False,336.35411593740065,5.0
143,143,44,order_1e7b6d95-6e4a-4e08-ae9d-b8c2f0d06aa2,wash_3,False,381.82622910930036,5.0
