month,count
2019-04,558
2019-05,555
2019-06,539
2019-07,826
2019-08,1162
2019-09,1677
2019-10,2039
2019-11,2692
2019-12,2357
2020-01,2200
2020-02,3065
2020-03,2739
2020-04,2468
2020-05,3195
2020-06,6566
2020-07,8395
2020-08,3232
