"date","count"
"2020-07-27","9"
"2020-07-28","7"
"2020-07-29","4"
"2020-07-30","4"
"2020-08-01","1"
"2020-08-03","6"
"2020-08-04","15"
"2020-08-05","9"
"2020-08-06","13"
"2020-08-07","1"
"2020-08-08","2"
"2020-08-09","2"
"2020-08-10","1"
"2020-08-12","4"
"2020-08-14","32"
"2020-08-15","20"
"2020-08-16","3"
"2020-08-17","1"
"2020-08-18","1"
