,interval,time,initial_cost,final_cost,idle_time,tour_length,runtime,total_iterations,last_improvement,operator_performance,initial_tour,final_tour
10,15,150,2753.988020659673,2753.615845125772,9.036838216217447,234.74464073880407,511.05123567581177,407,237,"{'two-opt': 0, 'three-opt': 144, 'two-opt-star': 263}","[[0, 35, 33, 1, 58, 26, 47, 76, 20, 70, 27, 3, 11, 72, 0], [0, 4, 43, 38, 19, 57, 6, 15, 2, 14, 18, 17, 8, 59, 52, 71, 16, 25, 5, 0], [0, 36, 37, 28, 48, 31, 42, 29, 7, 77, 22, 75, 21, 23, 46, 41, 24, 39, 0], [0, 50, 51, 56, 44, 34, 32, 40, 45, 49, 54, 0], [0, 55, 63, 66, 64, 61, 9, 13, 12, 10, 53, 0], [0, 68, 62, 65, 67, 69, 73, 74, 60, 30, 0]]","[[0, 35, 33, 1, 58, 26, 47, 76, 20, 70, 27, 3, 11, 72, 74, 0], [0, 4, 43, 38, 19, 57, 6, 15, 18, 17, 8, 59, 52, 71, 16, 25, 5, 0], [0, 36, 37, 28, 48, 31, 42, 29, 7, 77, 22, 75, 21, 23, 46, 41, 24, 39, 0], [0, 50, 51, 56, 44, 34, 32, 40, 45, 49, 54, 0], [0, 55, 63, 66, 64, 61, 13, 9, 12, 10, 53, 60, 30, 0], [0, 68, 62, 65, 67, 69, 73, 2, 14, 0]]"
11,15,165,2753.615845125772,2751.2047690612762,9.036838216217447,227.13071632460566,266.4072093963623,429,415,"{'two-opt': 0, 'three-opt': 146, 'two-opt-star': 283}","[[0, 35, 33, 1, 58, 26, 47, 76, 20, 70, 27, 3, 11, 72, 74, 0], [0, 4, 43, 38, 19, 57, 6, 15, 18, 17, 8, 59, 52, 71, 16, 25, 5, 0], [0, 36, 37, 28, 48, 31, 42, 29, 7, 77, 22, 75, 21, 23, 46, 41, 24, 39, 0], [0, 50, 51, 56, 44, 34, 32, 40, 45, 49, 54, 0], [0, 55, 63, 66, 64, 61, 13, 9, 12, 10, 53, 60, 30, 0], [0, 68, 62, 65, 67, 69, 73, 2, 14, 0]]","[[0, 35, 33, 1, 58, 26, 47, 76, 20, 70, 27, 3, 11, 12, 74, 0], [0, 4, 43, 38, 15, 19, 57, 8, 59, 52, 71, 0], [0, 36, 37, 28, 48, 31, 42, 29, 7, 77, 22, 75, 21, 23, 46, 41, 24, 39, 0], [0, 50, 51, 56, 44, 34, 32, 40, 45, 49, 54, 0], [0, 55, 63, 66, 64, 61, 13, 9, 10, 30, 53, 60, 16, 25, 5, 0], [0, 68, 62, 65, 67, 69, 73, 18, 2, 14, 17, 72, 6, 0]]"
12,15,180,2768.2735787673587,2767.464283049851,9.036838216217447,228.97654997273816,314.96062994003296,417,315,"{'two-opt': 0, 'three-opt': 124, 'two-opt-star': 293}","[[0, 35, 33, 1, 58, 26, 47, 76, 20, 70, 27, 3, 11, 12, 74, 0], [0, 36, 37, 28, 48, 31, 42, 29, 7, 77, 22, 75, 21, 23, 46, 41, 24, 39, 0], [0, 50, 51, 56, 44, 34, 32, 40, 45, 49, 54, 0], [0, 55, 63, 66, 64, 61, 13, 9, 10, 30, 53, 60, 16, 25, 5, 0], [0, 68, 62, 65, 67, 69, 73, 18, 2, 14, 17, 72, 6, 0], [0, 4, 43, 38, 15, 19, 57, 8, 59, 52, 71, 79, 78, 0]]","[[0, 35, 33, 1, 58, 26, 47, 76, 20, 70, 27, 3, 11, 12, 74, 0], [0, 36, 37, 28, 48, 31, 42, 29, 7, 77, 22, 75, 21, 23, 46, 41, 24, 39, 0], [0, 50, 51, 56, 44, 34, 32, 40, 45, 49, 54, 0], [0, 55, 63, 66, 64, 61, 9, 13, 10, 30, 53, 52, 60, 0], [0, 68, 62, 65, 67, 69, 73, 18, 2, 14, 17, 72, 6, 0], [0, 4, 43, 38, 15, 19, 57, 8, 25, 59, 71, 79, 16, 78, 5, 0]]"
13,15,195,3171.831198706286,2775.2561999815916,9.036838216217447,245.08260344139086,474.5679421424866,507,405,"{'two-opt': 0, 'three-opt': 102, 'two-opt-star': 405}","[[0, 35, 33, 1, 58, 26, 47, 76, 20, 70, 27, 3, 11, 12, 74, 0], [0, 36, 37, 28, 48, 31, 42, 29, 7, 77, 22, 75, 21, 23, 46, 41, 24, 39, 0], [0, 50, 51, 56, 44, 34, 32, 40, 45, 49, 54, 0], [0, 55, 63, 66, 64, 61, 9, 13, 10, 30, 53, 52, 60, 0], [0, 68, 62, 65, 67, 69, 73, 18, 2, 14, 17, 72, 6, 0], [0, 4, 43, 38, 15, 19, 57, 8, 25, 59, 71, 79, 16, 78, 5, 0], [0, 80, 0]]","[[0, 35, 33, 1, 58, 26, 47, 76, 70, 27, 3, 11, 12, 9, 53, 60, 0], [0, 36, 37, 28, 48, 31, 42, 29, 7, 77, 13, 52, 16, 78, 71, 79, 0], [0, 50, 51, 56, 44, 34, 32, 46, 23, 21, 49, 30, 54, 0], [0, 55, 63, 66, 64, 61, 80, 0], [0, 68, 62, 65, 67, 69, 73, 18, 2, 14, 17, 10, 20, 75, 22, 74, 72, 6, 0], [0, 4, 5, 43, 38, 15, 19, 57, 8, 25, 59, 24, 40, 45, 41, 39, 0]]"
14,15,210,2786.0397937029925,2784.7695922700805,9.036838216217447,254.62489487872574,352.7862503528595,389,236,"{'two-opt': 0, 'three-opt': 36, 'two-opt-star': 353}","[[0, 35, 33, 1, 58, 26, 47, 76, 70, 27, 3, 11, 12, 9, 53, 60, 0], [0, 36, 37, 28, 48, 31, 42, 29, 7, 77, 13, 52, 16, 78, 71, 79, 0], [0, 50, 51, 56, 44, 34, 32, 46, 23, 21, 49, 30, 54, 0], [0, 68, 62, 65, 67, 69, 73, 18, 2, 14, 17, 10, 20, 75, 22, 74, 72, 6, 0], [0, 4, 5, 43, 38, 15, 19, 57, 8, 25, 59, 24, 40, 45, 41, 39, 0], [0, 55, 63, 66, 64, 61, 80, 81, 82, 0]]","[[0, 35, 33, 1, 58, 26, 47, 76, 70, 27, 11, 13, 12, 9, 53, 60, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 7, 77, 49, 30, 52, 16, 78, 71, 79, 0], [0, 50, 51, 56, 44, 34, 32, 82, 46, 23, 21, 54, 0], [0, 68, 62, 65, 67, 69, 73, 18, 2, 14, 17, 10, 20, 75, 22, 74, 72, 6, 0], [0, 4, 5, 43, 38, 15, 19, 57, 8, 25, 59, 24, 40, 41, 45, 39, 0], [0, 55, 63, 66, 64, 61, 80, 81, 0]]"
15,15,225,3206.7163635698494,2804.7037540329325,9.036838216217447,271.5748793929944,370.211505651474,527,425,"{'two-opt': 0, 'three-opt': 149, 'two-opt-star': 378}","[[0, 35, 33, 1, 58, 26, 47, 76, 70, 27, 11, 13, 12, 9, 53, 60, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 7, 77, 49, 30, 52, 16, 78, 71, 79, 0], [0, 50, 51, 56, 44, 34, 32, 82, 46, 23, 21, 54, 0], [0, 68, 62, 65, 67, 69, 73, 18, 2, 14, 17, 10, 20, 75, 22, 74, 72, 6, 0], [0, 4, 5, 43, 38, 15, 19, 57, 8, 25, 59, 24, 40, 41, 45, 39, 0], [0, 85, 84, 87, 86, 0], [0, 55, 63, 66, 64, 61, 80, 81, 83, 0]]","[[0, 35, 33, 1, 58, 26, 47, 76, 75, 22, 20, 27, 70, 72, 74, 60, 16, 78, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 7, 77, 21, 49, 83, 11, 52, 71, 87, 79, 0], [0, 50, 51, 56, 44, 34, 32, 84, 86, 82, 24, 46, 45, 54, 0], [0, 68, 62, 65, 67, 85, 69, 73, 18, 2, 14, 17, 0], [0, 4, 5, 43, 38, 15, 19, 57, 8, 6, 25, 59, 40, 41, 23, 39, 0], [0, 55, 63, 66, 64, 61, 80, 81, 30, 10, 13, 12, 9, 53, 0]]"
16,15,240,3223.421780342789,3222.226058041845,9.036838216217447,276.9084710000872,188.66236519813538,381,177,"{'two-opt': 0, 'three-opt': 86, 'two-opt-star': 295}","[[0, 35, 33, 1, 58, 26, 47, 76, 75, 22, 20, 27, 70, 72, 74, 60, 16, 78, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 7, 77, 21, 49, 83, 11, 52, 71, 87, 79, 0], [0, 50, 51, 56, 44, 34, 32, 84, 86, 82, 24, 46, 45, 54, 0], [0, 68, 62, 65, 67, 85, 69, 73, 18, 2, 14, 17, 0], [0, 4, 5, 43, 38, 15, 19, 57, 8, 6, 25, 59, 40, 41, 23, 39, 0], [0, 55, 63, 66, 64, 61, 80, 81, 30, 10, 13, 12, 9, 53, 0], [0, 88, 89, 0]]","[[0, 35, 33, 1, 58, 26, 47, 76, 75, 22, 20, 70, 27, 72, 74, 60, 16, 78, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 7, 77, 21, 83, 49, 11, 52, 71, 87, 79, 0], [0, 50, 51, 56, 44, 34, 32, 84, 86, 82, 24, 46, 45, 54, 0], [0, 68, 62, 65, 67, 85, 69, 73, 18, 2, 14, 17, 0], [0, 4, 5, 43, 38, 15, 19, 57, 8, 6, 25, 59, 39, 0], [0, 55, 63, 66, 64, 61, 80, 81, 30, 10, 13, 12, 9, 53, 0], [0, 88, 40, 41, 23, 89, 0]]"
17,15,255,3641.2580717860733,3240.107287913569,12.63644143041246,301.0757110931708,174.10594487190247,420,318,"{'two-opt': 0, 'three-opt': 113, 'two-opt-star': 307}","[[0, 35, 33, 1, 58, 26, 47, 76, 75, 22, 20, 70, 27, 72, 74, 60, 16, 78, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 7, 77, 21, 83, 49, 11, 52, 71, 87, 79, 0], [0, 50, 51, 56, 44, 34, 32, 84, 86, 82, 24, 46, 45, 54, 0], [0, 68, 62, 65, 67, 85, 69, 73, 18, 2, 14, 17, 0], [0, 4, 5, 43, 38, 15, 19, 57, 8, 6, 25, 59, 39, 0], [0, 55, 63, 66, 64, 61, 80, 81, 30, 10, 13, 12, 9, 53, 0], [0, 88, 40, 41, 23, 89, 0], [0, 91, 92, 90, 0]]","[[0, 35, 33, 1, 58, 26, 47, 76, 75, 22, 20, 70, 27, 72, 74, 60, 16, 78, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 7, 77, 21, 83, 52, 59, 71, 79, 0], [0, 50, 51, 56, 44, 34, 32, 87, 84, 82, 86, 46, 45, 24, 0], [0, 68, 62, 65, 67, 85, 69, 73, 18, 2, 14, 17, 0], [0, 4, 5, 43, 38, 15, 19, 57, 8, 6, 25, 91, 92, 12, 9, 53, 0], [0, 55, 63, 66, 64, 61, 80, 81, 30, 90, 11, 13, 10, 49, 54, 0], [0, 88, 40, 41, 23, 89, 39, 0]]"
18,15,270,3681.6008470090537,3676.6186161259284,13.51965219487785,328.43303690786036,430.8617613315582,515,413,"{'two-opt': 0, 'three-opt': 144, 'two-opt-star': 371}","[[0, 35, 33, 1, 58, 26, 47, 76, 75, 22, 20, 70, 27, 72, 74, 60, 16, 78, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 7, 77, 21, 83, 52, 59, 71, 79, 0], [0, 50, 51, 56, 44, 34, 32, 87, 84, 82, 86, 46, 45, 24, 0], [0, 4, 5, 43, 38, 15, 19, 57, 8, 6, 25, 91, 92, 12, 9, 53, 0], [0, 55, 63, 66, 64, 61, 80, 81, 30, 90, 11, 13, 10, 49, 54, 0], [0, 88, 40, 41, 23, 89, 39, 0], [0, 96, 98, 93, 95, 0], [0, 68, 62, 65, 67, 85, 69, 73, 18, 2, 14, 17, 94, 97, 0]]","[[0, 35, 33, 1, 58, 26, 47, 76, 75, 22, 20, 70, 27, 9, 11, 30, 60, 71, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 7, 77, 21, 83, 90, 59, 97, 0], [0, 50, 51, 56, 44, 34, 32, 87, 84, 82, 86, 79, 45, 46, 0], [0, 4, 43, 38, 15, 19, 57, 5, 25, 6, 8, 91, 92, 95, 98, 2, 73, 18, 93, 0], [0, 55, 63, 66, 64, 61, 80, 81, 10, 12, 49, 54, 94, 16, 78, 0], [0, 88, 40, 41, 23, 89, 52, 0], [0, 96, 13, 53, 24, 39, 0], [0, 68, 62, 65, 67, 85, 69, 14, 17, 72, 74, 0]]"
19,15,285,3683.941135382609,3680.688013543587,13.51965219487785,331.7837655952064,297.0909893512726,433,382,"{'two-opt': 0, 'three-opt': 82, 'two-opt-star': 351}","[[0, 35, 33, 1, 58, 26, 47, 76, 75, 22, 20, 70, 27, 9, 11, 30, 60, 71, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 7, 77, 21, 83, 90, 59, 97, 0], [0, 50, 51, 56, 44, 34, 32, 87, 84, 82, 86, 79, 45, 46, 0], [0, 4, 43, 38, 15, 19, 57, 5, 25, 6, 8, 91, 92, 95, 98, 2, 73, 18, 93, 0], [0, 55, 63, 66, 64, 61, 80, 81, 10, 12, 49, 54, 94, 16, 78, 0], [0, 88, 40, 41, 23, 89, 52, 0], [0, 96, 13, 53, 24, 39, 0], [0, 68, 62, 65, 67, 85, 69, 14, 17, 72, 74, 99, 0]]","[[0, 35, 33, 1, 58, 26, 47, 76, 75, 22, 20, 70, 27, 9, 12, 11, 30, 60, 71, 0], [0, 36, 37, 28, 48, 31, 42, 29, 3, 7, 77, 21, 83, 99, 72, 74, 90, 52, 0], [0, 50, 51, 56, 44, 34, 32, 87, 84, 82, 86, 79, 45, 0], [0, 4, 43, 38, 15, 19, 57, 5, 25, 6, 8, 91, 92, 95, 98, 2, 93, 17, 0], [0, 55, 63, 66, 64, 61, 80, 81, 10, 49, 54, 94, 16, 78, 0], [0, 88, 40, 41, 23, 46, 89, 0], [0, 96, 13, 53, 97, 24, 39, 0], [0, 68, 62, 65, 67, 85, 69, 73, 18, 14, 59, 0]]"
