CUST_NO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,XCOORD_END,YCOORD_END,order_id,end_poi_id
44,13.46694835,52.50573403,21,0,185,21,13.4858497108863,52.5071209345277,order_b35799f9-b42e-459b-87a7-92d7759b035d,refuel_130
45,13.438797,52.47205400000001,43,0,480,43,13.4429378,52.4657783,order_16265f48-a99d-4f9b-8d03-4aaaba8ff0b7,wash_12
46,13.462519,52.46961,46,0,480,46,13.4429378,52.4657783,order_2a95f52c-bdf6-46ad-9faa-414edf734791,wash_12
47,13.269223,52.448558,20,0,320,20,13.2657076867028,52.436204956358,order_e9c6886f-a652-4efc-8f27-434891f261d3,refuel_97
48,13.291873999999998,52.552028,19,0,261,19,13.3099553363267,52.5473186740196,order_df313439-3586-4609-911d-a1f630998a41,refuel_29
49,13.392511,52.491814,16,5,480,16,13.392549,52.491583,order_be3b716a-65c0-4f64-ab73-585e767a8205,stationary_charge_1440
50,13.44329058,52.48222836,17,20,35,17,13.4413322118305,52.481529420879,order_20ca73c2-5c10-4a6f-b627-4fffed6b16e9,refuel_128
51,13.393404,52.51246,47,33,480,47,13.4251111,52.5121686,order_8b3c1a01-ef2e-4890-93c8-7c7295f4d895,wash_11
52,13.393135,52.514977,47,33,480,47,13.4251111,52.5121686,order_8490f2d8-ca01-4951-94cc-1511d6a4ad3b,wash_11
53,13.378520000000002,52.508987,49,58,480,49,13.4251111,52.5121686,order_b978c191-7a1a-4668-a7c2-2a4ba27a8373,wash_11
54,13.389167,52.49408,52,58,480,52,13.4251111,52.5121686,order_5f8805e1-2679-41a5-ad4b-667040579fe7,wash_11
55,13.44329058,52.48222836,17,66,80,17,13.4413322118305,52.481529420879,order_c4c79196-4338-4ac0-b717-43054e1994ac,refuel_128
56,13.38401305,52.51851429,23,81,95,23,13.3766736,52.5004782,order_3ecd760b-83e2-4711-ba5b-231b9c9de6dc,refuel_225
57,13.39224162,52.56393026,19,81,140,19,13.3845130012647,52.5551477823985,order_e5552b85-779f-4be1-bafb-9fa18b194c98,refuel_99
58,13.26615716,52.51315820000001,16,96,110,16,13.2659797,52.5136091,order_b80432e1-5c28-4b0d-8e8d-03f7a03a95c2,refuel_261
59,13.405589,52.54009,51,108,480,51,13.4251111,52.5121686,order_9bf32a4e-431e-4166-8693-13f19e38a495,wash_11
60,13.40891,52.523030000000006,46,108,480,46,13.4251111,52.5121686,order_601cc65d-241f-4a9b-81a4-f6a13ee40375,wash_11
61,13.38401305,52.51851429,23,111,170,23,13.3766736,52.5004782,order_2e087b7a-23e6-4b5f-a68d-c95b117aa37f,refuel_225
62,13.413121,52.5621,18,111,231,18,13.4076934,52.563621,order_5b225202-a0ca-4df1-aec1-aa72323c33a6,refuel_246
63,13.48875555,52.49539635,20,111,140,20,13.5024392,52.4831629,order_3c41400c-edae-490b-ac69-c9b8c6d69464,refuel_308
64,13.473348,52.493278,21,111,155,21,13.4497838,52.4971705,order_ff0bbe9d-0e33-4170-9079-9f78e8b3e09d,refuel_185
65,13.365276,52.572177,18,111,155,18,13.3614366049615,52.568179657438,order_2b83daa7-e539-4f40-aa76-24977d4b294f,refuel_11
66,13.487996,52.494647,19,111,125,19,13.5024392,52.4831629,order_bf45b8a6-a465-43ca-82f7-07561b272e5b,refuel_308
67,13.36206237,52.57417608,19,111,260,19,13.3787225549399,52.576614197583,order_63e67018-0603-4718-9183-2e3d41646f6c,refuel_81
68,13.4974254,52.53548855,18,111,170,18,13.5005492,52.5428256,order_b81e33b2-ebf4-4efb-abc4-1d8ebe5652d1,refuel_258
